Dataset_Name,Dataset_Type,K_Value,Q_Budget,Iteration,Exec_Time_Coreset,Cost_P_C_Baseline,Cost_Q_C_prime,Cost_P_C_prime,Cost_Random,Exec_Time_Random
birb,image,8,4096,5,0.3753,8191.28955078125,8453.8671875,8649.26,8235.33,0.0393
birb,image,8,4096,6,0.3453,8191.28955078125,8079.634765625,8219.914,8626.307,0.0431
birb,image,8,4096,7,0.3504,8191.28955078125,8171.01318359375,8214.491,8707.557,0.044
birb,image,8,4096,8,0.3637,8191.28955078125,8518.95703125,8559.57,8874.52,0.0425
birb,image,8,4096,9,0.3637,8191.28955078125,8208.984375,8216.972,8202.02,0.0432
birb,image,8,8192,0,0.3658,8191.28955078125,8542.939453125,8611.869,8199.518,0.0495
birb,image,8,8192,1,0.5952,8191.28955078125,8789.025390625,8850.871,8215.568,0.0423
birb,image,8,8192,2,0.8283,8191.28955078125,8457.2626953125,8571.568,9285.111,0.0564
birb,image,8,8192,3,0.4732,8191.28955078125,8204.2802734375,8198.814,8704.412,0.0484
birb,image,8,8192,4,0.3129,8191.28955078125,8275.45703125,8200.174,8844.213,0.0448
birb,image,8,8192,5,0.3467,8191.28955078125,8241.25,8200.637,8202.056,0.064
birb,image,8,8192,6,0.4352,8191.28955078125,8911.5537109375,8976.371,8198.777,0.049
birb,image,8,8192,7,0.704,8191.28955078125,8764.7568359375,8826.645,8608.083,0.059
birb,image,8,8192,8,0.5138,8191.28955078125,8595.64453125,8633.554,8616.314,0.0635
birb,image,8,8192,9,0.4429,8191.28955078125,8645.384765625,8638.871,8202.525,0.0547
birb,image,16,64,0,0.3068,4265.03564453125,3151.5703125,5752.452,5492.754,0.0356
birb,image,16,64,1,0.3823,4265.03564453125,3226.6845703125,4872.9346,5903.009,0.0378
birb,image,16,64,2,0.6803,4265.03564453125,2833.8681640625,5299.268,5822.083,0.0424
birb,image,16,64,3,0.4611,4265.03564453125,3311.66943359375,5342.9297,5918.451,0.0325
birb,image,16,64,4,0.5583,4265.03564453125,3342.08935546875,5394.5845,5752.3584,0.0414
birb,image,16,64,5,0.4164,4265.03564453125,2938.576171875,5364.24,6794.5586,0.0374
birb,image,16,64,6,0.3777,4265.03564453125,3353.440673828125,5131.2153,5498.6836,0.0419
birb,image,16,64,7,0.5554,4265.03564453125,2420.950927734375,5300.174,5889.528,0.0353
birb,image,16,64,8,0.5142,4265.03564453125,3267.654052734375,5288.8135,5297.658,0.0583
birb,image,16,64,9,0.7422,4265.03564453125,3164.009521484375,5366.3643,6527.85,0.0361
birb,image,16,128,0,0.454,4265.03564453125,3954.659423828125,4940.5874,4992.828,0.042
birb,image,16,128,1,0.3198,4265.03564453125,4292.55615234375,5257.5366,5201.8564,0.045
birb,image,16,128,2,0.6979,4265.03564453125,3884.16357421875,4997.2705,5319.291,0.0419
birb,image,16,128,3,0.9143,4265.03564453125,3497.921142578125,4729.1094,5275.7363,0.0371
birb,image,16,128,4,0.7119,4265.03564453125,3553.0810546875,5073.6797,4648.96,0.0349
birb,image,16,128,5,0.4673,4265.03564453125,3547.977294921875,4697.9375,5523.1553,0.0348
birb,image,16,128,6,0.3767,4265.03564453125,3558.308837890625,4679.54,5061.298,0.0384
birb,image,16,128,7,0.6311,4265.03564453125,3755.267822265625,4923.7305,5166.183,0.0376
birb,image,16,128,8,0.7065,4265.03564453125,4230.0654296875,5514.9995,5075.1885,0.0398
birb,image,16,128,9,0.3355,4265.03564453125,3354.541259765625,4997.923,5074.1797,0.0353
birb,image,16,256,0,0.3991,4265.03564453125,4460.32080078125,5063.95,4996.4307,0.0464
birb,image,16,256,1,0.6955,4265.03564453125,3826.995361328125,4728.4907,5217.1016,0.0323
birb,image,16,256,2,0.4044,4265.03564453125,3820.57568359375,4800.873,5453.174,0.0376
birb,image,16,256,3,0.3156,4265.03564453125,4020.16796875,4447.07,4908.9443,0.0378
birb,image,16,256,4,0.33,4265.03564453125,3884.0400390625,4828.897,4770.5312,0.0574
birb,image,16,256,5,0.4762,4265.03564453125,3945.99951171875,4810.2285,5233.329,0.0353
birb,image,16,256,6,0.5916,4265.03564453125,3782.934814453125,4623.4785,4723.6963,0.0565
birb,image,16,256,7,0.5827,4265.03564453125,3571.57177734375,4520.826,4881.3022,0.0358
birb,image,16,256,8,0.3025,4265.03564453125,3926.308349609375,4657.9624,4904.5405,0.0379
birb,image,16,256,9,0.4491,4265.03564453125,3855.641845703125,4849.7065,4809.4067,0.05
birb,image,16,512,0,0.6067,4265.03564453125,4050.5556640625,4620.6553,4686.955,0.0421
birb,image,16,512,1,0.495,4265.03564453125,4087.18701171875,4596.3022,4588.534,0.0371
birb,image,16,512,2,0.4187,4265.03564453125,3948.596923828125,4466.8926,4713.0747,0.0469
birb,image,16,512,3,0.2856,4265.03564453125,4317.31298828125,4527.1675,4554.789,0.0383
birb,image,16,512,4,0.3121,4265.03564453125,4193.6357421875,4471.5425,4863.45,0.046
birb,image,16,512,5,0.3529,4265.03564453125,4347.259765625,4636.303,4574.743,0.0402
birb,image,16,512,6,0.3953,4265.03564453125,4057.228759765625,4469.858,4725.361,0.0586
birb,image,16,512,7,0.7192,4265.03564453125,4239.42919921875,4721.4526,4769.785,0.0359
birb,image,16,512,8,0.3826,4265.03564453125,3964.366455078125,4535.751,4490.584,0.041
birb,image,16,512,9,0.4812,4265.03564453125,4085.03466796875,4567.403,4526.4424,0.0379
birb,image,16,1024,0,0.2507,4265.03564453125,4417.134765625,4536.913,4456.3096,0.0442
birb,image,16,1024,1,0.7947,4265.03564453125,4271.921875,4437.13,4622.4927,0.0426
birb,image,16,1024,2,0.5379,4265.03564453125,4221.1259765625,4348.337,4544.2617,0.0456
birb,image,16,1024,3,0.2992,4265.03564453125,4444.61865234375,4567.706,4483.7466,0.039
birb,image,16,1024,4,0.3608,4265.03564453125,4178.7099609375,4368.2715,4562.8916,0.0437
birb,image,16,1024,5,0.4311,4265.03564453125,4057.493896484375,4327.525,4351.716,0.0396
birb,image,16,1024,6,0.6749,4265.03564453125,4215.10595703125,4401.2964,4385.013,0.0443
birb,image,16,1024,7,0.769,4265.03564453125,4354.62158203125,4451.7114,4420.412,0.05
birb,image,16,1024,8,0.3991,4265.03564453125,4169.83984375,4483.1294,4398.92,0.0421
birb,image,16,1024,9,0.273,4265.03564453125,4332.66552734375,4604.286,4663.2275,0.0372
birb,image,16,4096,0,0.2965,4265.03564453125,4292.169921875,4359.251,4273.777,0.0619
birb,image,16,4096,1,0.5818,4265.03564453125,4331.54638671875,4450.9663,4385.343,0.0837
birb,image,16,4096,2,0.3578,4265.03564453125,4227.2861328125,4296.123,4459.966,0.055
birb,image,16,4096,3,0.6756,4265.03564453125,4245.95556640625,4337.0405,4399.2935,0.0514
birb,image,16,4096,4,0.6788,4265.03564453125,4238.28515625,4299.357,4332.416,0.0742
birb,image,16,4096,5,0.4787,4265.03564453125,4232.91943359375,4278.8276,4334.6113,0.0663
birb,image,16,4096,6,0.762,4265.03564453125,4295.8583984375,4302.206,4322.6826,0.0562
birb,image,16,4096,7,0.3949,4265.03564453125,4167.6962890625,4270.284,4318.6973,0.0511
birb,image,16,4096,8,0.3575,4265.03564453125,4241.39892578125,4295.308,4310.5786,0.0463
birb,image,16,4096,9,0.314,4265.03564453125,4182.56884765625,4284.9062,4297.0513,0.066
birb,image,16,8192,0,0.8104,4265.03564453125,4300.87255859375,4345.5713,4373.9736,0.0595
birb,image,16,8192,1,0.5936,4265.03564453125,4215.02490234375,4267.8203,4397.4385,0.0644
birb,image,16,8192,2,0.328,4265.03564453125,4237.7802734375,4272.0015,4347.2197,0.0805
birb,image,16,8192,3,0.3094,4265.03564453125,4247.09912109375,4288.243,4280.292,0.0465
birb,image,16,8192,4,0.3361,4265.03564453125,4237.68798828125,4291.933,4383.2817,0.0613
birb,image,16,8192,5,0.2812,4265.03564453125,4452.25,4491.1997,4287.239,0.0504
birb,image,16,8192,6,0.3253,4265.03564453125,4239.14599609375,4251.0225,4271.1436,0.052
birb,image,16,8192,7,0.2894,4265.03564453125,4242.7568359375,4273.7476,4371.0693,0.051
birb,image,16,8192,8,0.4019,4265.03564453125,4372.46142578125,4374.9375,4304.7065,0.0811
birb,image,16,8192,9,0.3275,4265.03564453125,4239.32080078125,4307.5273,4282.8667,0.0566
birb,image,32,64,0,0.8089,2333.56005859375,873.7527465820312,3138.3535,3870.8542,0.0447
birb,image,32,64,1,0.912,2333.56005859375,1011.244384765625,2993.1287,3790.5195,0.0416
birb,image,32,64,2,0.8045,2333.56005859375,806.1591796875,3086.9702,3719.0083,0.0507
birb,image,32,64,3,0.693,2333.56005859375,1096.405029296875,3049.0955,3639.0752,0.0402
birb,image,32,64,4,0.7429,2333.56005859375,1273.8458251953125,3195.4934,4041.9048,0.0517
birb,image,32,64,5,0.8622,2333.56005859375,859.6234130859375,3140.403,3902.5518,0.0391
birb,image,32,64,6,0.6765,2333.56005859375,1128.7564697265625,3091.5325,3762.8525,0.0476
birb,image,32,64,7,0.7235,2333.56005859375,1083.290771484375,3208.5352,3331.3599,0.0382
